experiment,setting,R_star,decision,seed
degree_preserving_null,draw=75,2.0,RESIDUAL,2026082475
degree_preserving_null,draw=76,2.0,RESIDUAL,2026082476
degree_preserving_null,draw=77,2.0,RESIDUAL,2026082477
degree_preserving_null,draw=78,2.0,RESIDUAL,2026082478
degree_preserving_null,draw=79,2.0,RESIDUAL,2026082479
degree_preserving_null,draw=80,2.0,RESIDUAL,2026082480
degree_preserving_null,draw=81,2.0,RESIDUAL,2026082481
degree_preserving_null,draw=82,2.0,RESIDUAL,2026082482
degree_preserving_null,draw=83,2.0,RESIDUAL,2026082483
degree_preserving_null,draw=84,2.0,RESIDUAL,2026082484
degree_preserving_null,draw=85,2.0,RESIDUAL,2026082485
degree_preserving_null,draw=86,2.0,RESIDUAL,2026082486
degree_preserving_null,draw=87,2.0,RESIDUAL,2026082487
degree_preserving_null,draw=88,2.0,RESIDUAL,2026082488
degree_preserving_null,draw=89,2.0,RESIDUAL,2026082489
degree_preserving_null,draw=90,2.0,RESIDUAL,2026082490
degree_preserving_null,draw=91,2.0,RESIDUAL,2026082491
degree_preserving_null,draw=92,2.0,RESIDUAL,2026082492
degree_preserving_null,draw=93,2.0,RESIDUAL,2026082493
degree_preserving_null,draw=94,2.0,RESIDUAL,2026082494
degree_preserving_null,draw=95,2.0,RESIDUAL,2026082495
degree_preserving_null,draw=96,2.0,RESIDUAL,2026082496
degree_preserving_null,draw=97,2.0,RESIDUAL,2026082497
degree_preserving_null,draw=98,2.0,RESIDUAL,2026082498
degree_preserving_null,draw=99,2.0,RESIDUAL,2026082499
degree_preserving_null,draw=100,2.0,RESIDUAL,2026082500
degree_preserving_null,draw=101,2.0,RESIDUAL,2026082501
degree_preserving_null,draw=102,2.0,RESIDUAL,2026082502
degree_preserving_null,draw=103,2.0,RESIDUAL,2026082503
degree_preserving_null,draw=104,2.0,RESIDUAL,2026082504
degree_preserving_null,draw=105,2.0,RESIDUAL,2026082505
degree_preserving_null,draw=106,2.0,RESIDUAL,2026082506
degree_preserving_null,draw=107,2.0,RESIDUAL,2026082507
degree_preserving_null,draw=108,2.0,RESIDUAL,2026082508
degree_preserving_null,draw=109,2.0,RESIDUAL,2026082509
degree_preserving_null,draw=110,2.0,RESIDUAL,2026082510
degree_preserving_null,draw=111,2.0,RESIDUAL,2026082511
degree_preserving_null,draw=112,2.0,RESIDUAL,2026082512
degree_preserving_null,draw=113,2.0,RESIDUAL,2026082513
degree_preserving_null,draw=114,2.0,RESIDUAL,2026082514
degree_preserving_null,draw=115,2.0,RESIDUAL,2026082515
degree_preserving_null,draw=116,2.0,RESIDUAL,2026082516
degree_preserving_null,draw=117,2.0,RESIDUAL,2026082517
degree_preserving_null,draw=118,2.0,RESIDUAL,2026082518
degree_preserving_null,draw=119,2.0,RESIDUAL,2026082519
degree_preserving_null,draw=120,2.0,RESIDUAL,2026082520
degree_preserving_null,draw=121,2.0,RESIDUAL,2026082521
degree_preserving_null,draw=122,2.0,RESIDUAL,2026082522
degree_preserving_null,draw=123,2.0,RESIDUAL,2026082523
degree_preserving_null,draw=124,2.0,RESIDUAL,2026082524
degree_preserving_null,draw=125,2.0,RESIDUAL,2026082525
degree_preserving_null,draw=126,2.0,RESIDUAL,2026082526
degree_preserving_null,draw=127,2.0,RESIDUAL,2026082527
degree_preserving_null,draw=128,2.0,RESIDUAL,2026082528
degree_preserving_null,draw=129,2.0,RESIDUAL,2026082529
degree_preserving_null,draw=130,2.0,RESIDUAL,2026082530
degree_preserving_null,draw=131,2.0,RESIDUAL,2026082531
degree_preserving_null,draw=132,2.0,RESIDUAL,2026082532
degree_preserving_null,draw=133,2.0,RESIDUAL,2026082533
degree_preserving_null,draw=134,2.0,RESIDUAL,2026082534
degree_preserving_null,draw=135,2.0,RESIDUAL,2026082535
degree_preserving_null,draw=136,2.0,RESIDUAL,2026082536
degree_preserving_null,draw=137,2.0,RESIDUAL,2026082537
degree_preserving_null,draw=138,2.0,RESIDUAL,2026082538
degree_preserving_null,draw=139,2.0,RESIDUAL,2026082539
degree_preserving_null,draw=140,2.0,RESIDUAL,2026082540
degree_preserving_null,draw=141,2.0,RESIDUAL,2026082541
degree_preserving_null,draw=142,2.0,RESIDUAL,2026082542
degree_preserving_null,draw=143,2.0,RESIDUAL,2026082543
degree_preserving_null,draw=144,2.0,RESIDUAL,2026082544
degree_preserving_null,draw=145,2.0,RESIDUAL,2026082545
degree_preserving_null,draw=146,2.0,RESIDUAL,2026082546
degree_preserving_null,draw=147,2.0,RESIDUAL,2026082547
degree_preserving_null,draw=148,2.0,RESIDUAL,2026082548
degree_preserving_null,draw=149,2.0,RESIDUAL,2026082549
degree_preserving_null,draw=150,2.0,RESIDUAL,2026082550
degree_preserving_null,draw=151,2.0,RESIDUAL,2026082551
degree_preserving_null,draw=152,2.0,RESIDUAL,2026082552
degree_preserving_null,draw=153,2.0,RESIDUAL,2026082553
degree_preserving_null,draw=154,2.0,RESIDUAL,2026082554
degree_preserving_null,draw=155,2.0,RESIDUAL,2026082555
degree_preserving_null,draw=156,2.0,RESIDUAL,2026082556
degree_preserving_null,draw=157,2.0,RESIDUAL,2026082557
degree_preserving_null,draw=158,2.0,RESIDUAL,2026082558
degree_preserving_null,draw=159,2.0,RESIDUAL,2026082559
degree_preserving_null,draw=160,2.0,RESIDUAL,2026082560
degree_preserving_null,draw=161,2.0,RESIDUAL,2026082561
degree_preserving_null,draw=162,2.0,RESIDUAL,2026082562
degree_preserving_null,draw=163,2.0,RESIDUAL,2026082563
degree_preserving_null,draw=164,2.0,RESIDUAL,2026082564
degree_preserving_null,draw=165,2.0,RESIDUAL,2026082565
degree_preserving_null,draw=166,2.0,RESIDUAL,2026082566
degree_preserving_null,draw=167,2.0,RESIDUAL,2026082567
degree_preserving_null,draw=168,2.0,RESIDUAL,2026082568
degree_preserving_null,draw=169,2.0,RESIDUAL,2026082569
degree_preserving_null,draw=170,2.0,RESIDUAL,2026082570
degree_preserving_null,draw=171,2.0,RESIDUAL,2026082571
degree_preserving_null,draw=172,2.0,RESIDUAL,2026082572
degree_preserving_null,draw=173,2.0,RESIDUAL,2026082573
degree_preserving_null,draw=174,2.0,RESIDUAL,2026082574
degree_preserving_null,draw=175,2.0,RESIDUAL,2026082575
degree_preserving_null,draw=176,2.0,RESIDUAL,2026082576
degree_preserving_null,draw=177,2.0,RESIDUAL,2026082577
degree_preserving_null,draw=178,2.0,RESIDUAL,2026082578
degree_preserving_null,draw=179,2.0,RESIDUAL,2026082579
degree_preserving_null,draw=180,2.0,RESIDUAL,2026082580
degree_preserving_null,draw=181,2.0,RESIDUAL,2026082581
degree_preserving_null,draw=182,2.0,RESIDUAL,2026082582
degree_preserving_null,draw=183,2.0,RESIDUAL,2026082583
degree_preserving_null,draw=184,2.0,RESIDUAL,2026082584
degree_preserving_null,draw=185,2.0,RESIDUAL,2026082585
degree_preserving_null,draw=186,2.0,RESIDUAL,2026082586
degree_preserving_null,draw=187,2.0,RESIDUAL,2026082587
degree_preserving_null,draw=188,2.0,RESIDUAL,2026082588
degree_preserving_null,draw=189,2.0,RESIDUAL,2026082589
degree_preserving_null,draw=190,2.0,RESIDUAL,2026082590
degree_preserving_null,draw=191,2.0,RESIDUAL,2026082591
degree_preserving_null,draw=192,2.0,RESIDUAL,2026082592
degree_preserving_null,draw=193,2.0,RESIDUAL,2026082593
degree_preserving_null,draw=194,2.0,RESIDUAL,2026082594
degree_preserving_null,draw=195,2.0,RESIDUAL,2026082595
degree_preserving_null,draw=196,2.0,RESIDUAL,2026082596
degree_preserving_null,draw=197,2.0,RESIDUAL,2026082597
degree_preserving_null,draw=198,2.0,RESIDUAL,2026082598
degree_preserving_null,draw=199,2.0,RESIDUAL,2026082599
