experiment,regime,baseline,covered_rows,packages,distortion_ratio,coefficient_of_variation,best_scale_rmse,max_package_share,effective_package_count,active_packages,zero_exposure_rows
within_regime,skillsp_l1_full,released_uniform,314,6,2.0,0.31153353561466485,0.2974342459403841,0.16666666666666666,5.999999999999999,6,0
within_regime,skillsp_l1_full,inverse_support_size,314,6,98.33333333333334,1.7229962209832934,0.8648868920391365,0.7864604311533738,1.5872234713728313,6,0
within_regime,skillsp_l1_full,inverse_sqrt_support,314,6,10.865765724632494,0.5498245473013299,0.4818007063703964,0.4734299454046785,3.5088550509573273,6,0
within_regime,skillsp_l1_full,fractional_load_inverse,314,6,134.66666666666666,1.9183561961083833,0.8867518920141149,0.8022078531061043,1.5294065779675479,6,0
within_regime,skillsp_l1_full,nnls_l2,314,6,5.5095579354215305,0.21460367892942614,0.20982631671123567,0.45974091747184825,3.484881925452336,6,0
within_regime,skillsp_l1_full,chebyshev_linf,314,6,2.0000000000000004,0.3411705861660722,0.32289563900147333,0.33333333333333337,2.9999999999999996,3,0
within_regime,skillsp_l1_full,greedy_cover_uniform,314,6,2.0,0.34117058616607215,0.32289563900147333,0.3333333333333333,3.0,3,0
within_regime,skillsp_l1_full,exact_min_cover_uniform,314,6,2.0,0.34117058616607215,0.32289563900147333,0.3333333333333333,3.0,3,0
within_regime,skillsp_l1_full,maxmin_fair,314,6,2.0,0.3411705861660722,0.3228956390014733,0.3333333333333333,3.0,3,0
within_regime,skillsp_l1_full,exact_rstar,314,6,2.0,0.34117058616607215,0.32289563900147333,0.3333333333333333,3.0,3,0
within_regime,skillsp_l1_full,semantic_first_upper_bound,314,6,1.0,,,,,,
within_regime,skillsp_l1_calibration,released_uniform,47,3,2.0,0.26867731575255843,0.2594750658969167,0.3333333333333333,3.0,3,0
within_regime,skillsp_l1_calibration,inverse_support_size,47,3,2.8947368421052633,0.26533537080334807,0.2564611100502797,0.43710539096648854,2.8197769043971963,3,0
within_regime,skillsp_l1_calibration,inverse_sqrt_support,47,3,2.376494403223371,0.25943862389862116,0.25112483734949675,0.38487251706105957,2.9508855282840427,3,0
within_regime,skillsp_l1_calibration,fractional_load_inverse,47,3,2.772727272727273,0.2934892950679991,0.28161135843105944,0.44827586206896547,2.823200298396121,3,0
within_regime,skillsp_l1_calibration,nnls_l2,47,3,3.9754385964912275,0.2205056488032623,0.215332748394039,0.4382881951622907,2.5938326576276824,3,0
within_regime,skillsp_l1_calibration,chebyshev_linf,47,3,2.0000000000000004,0.2686773157525585,0.25947506589691677,0.33333333333333337,2.9999999999999996,3,0
within_regime,skillsp_l1_calibration,greedy_cover_uniform,47,3,2.0,0.26867731575255843,0.2594750658969167,0.3333333333333333,3.0,3,0
within_regime,skillsp_l1_calibration,exact_min_cover_uniform,47,3,2.0,0.26867731575255843,0.2594750658969167,0.3333333333333333,3.0,3,0
within_regime,skillsp_l1_calibration,maxmin_fair,47,3,2.0,0.2686773157525585,0.2594750658969167,0.3333333333333333,3.0,3,0
within_regime,skillsp_l1_calibration,exact_rstar,47,3,2.0,0.26867731575255843,0.2594750658969167,0.3333333333333333,3.0,3,0
within_regime,skillsp_l1_calibration,semantic_first_upper_bound,47,3,1.0,,,,,,
within_regime,skillsp_l1_heldout,released_uniform,52,3,2.0,0.2562791687704621,0.24825619819934597,0.3333333333333333,3.0,3,0
within_regime,skillsp_l1_heldout,inverse_support_size,52,3,2.8636363636363638,0.2483050496843713,0.2409870834456145,0.425278524779101,2.8327439107751244,3,0
within_regime,skillsp_l1_heldout,inverse_sqrt_support,52,3,2.365150674334655,0.24682862797928995,0.23963669212161187,0.379479162195417,2.9532321427184245,3,0
within_regime,skillsp_l1_heldout,fractional_load_inverse,52,3,2.833333333333333,0.2905668716831563,0.2790265406386545,0.45205479452054786,2.8091723774380615,3,0
within_regime,skillsp_l1_heldout,nnls_l2,52,3,3.9393939393939355,0.20858472746796117,0.20419010876418558,0.4429223744292236,2.6038872902980623,3,0
within_regime,skillsp_l1_heldout,chebyshev_linf,52,3,2.0000000000000004,0.25627916877046214,0.248256198199346,0.33333333333333337,2.9999999999999996,3,0
within_regime,skillsp_l1_heldout,greedy_cover_uniform,52,3,2.0,0.2562791687704621,0.24825619819934597,0.3333333333333333,3.0,3,0
within_regime,skillsp_l1_heldout,exact_min_cover_uniform,52,3,2.0,0.2562791687704621,0.24825619819934597,0.3333333333333333,3.0,3,0
within_regime,skillsp_l1_heldout,maxmin_fair,52,3,2.0000000000000004,0.25627916877046214,0.248256198199346,0.33333333333333337,2.9999999999999996,3,0
within_regime,skillsp_l1_heldout,exact_rstar,52,3,2.0,0.2562791687704621,0.24825619819934597,0.3333333333333333,3.0,3,0
within_regime,skillsp_l1_heldout,semantic_first_upper_bound,52,3,1.0,,,,,,
within_regime,skillsp_l3,released_uniform,34,4,1.0,0.0,0.0,0.25,4.0,4,0
within_regime,skillsp_l3,inverse_support_size,34,4,3.0,0.43180821360105387,0.39642830306780835,0.35820895522388063,3.5486166007905138,4,0
within_regime,skillsp_l3,inverse_sqrt_support,34,4,1.732050807568877,0.2210712252197257,0.21585935323871336,0.30480457847979864,3.8556132712905535,4,0
within_regime,skillsp_l3,fractional_load_inverse,34,4,3.0,0.43180821360105387,0.39642830306780835,0.35820895522388063,3.5486166007905138,4,0
within_regime,skillsp_l3,nnls_l2,34,4,1.0000000000000007,2.0770370905276122e-16,2.0770370905276122e-16,0.2500000000000001,3.999999999999999,4,0
within_regime,skillsp_l3,chebyshev_linf,34,4,1.0,0.0,0.0,0.25,4.0,4,0
within_regime,skillsp_l3,greedy_cover_uniform,34,4,1.0,0.0,0.0,0.25,4.0,4,0
within_regime,skillsp_l3,exact_min_cover_uniform,34,4,1.0,0.0,0.0,0.25,4.0,4,0
within_regime,skillsp_l3,maxmin_fair,34,4,1.0,0.0,0.0,0.25,4.0,4,0
within_regime,skillsp_l3,exact_rstar,34,4,1.0,0.0,0.0,0.25,4.0,4,0
within_regime,skillsp_l3,semantic_first_upper_bound,34,4,1.0,,,,,,
within_regime,logical_compiler,released_uniform,128,8,8.0,0.2994672686889007,0.2868796504850664,0.125,8.0,8,0
within_regime,logical_compiler,inverse_support_size,128,8,15.671829770974083,0.35661774114580413,0.3358977054568354,0.22074381294434114,7.081229165704128,8,0
within_regime,logical_compiler,inverse_sqrt_support,128,8,11.019651788491169,0.32647085007438115,0.3103504437335426,0.16878593403864514,7.748471449358334,8,0
within_regime,logical_compiler,fractional_load_inverse,128,8,18.458312959591687,0.36416867989181456,0.342184791691976,0.2164830662739479,7.033146471002605,8,0
within_regime,logical_compiler,nnls_l2,128,8,1.0,3.33066907387547e-16,2.220446049250313e-16,1.0,1.0,1,0
within_regime,logical_compiler,chebyshev_linf,128,8,1.0,0.0,0.0,1.0,1.0,1,0
within_regime,logical_compiler,greedy_cover_uniform,128,8,1.0,0.0,0.0,1.0,1.0,1,0
within_regime,logical_compiler,exact_min_cover_uniform,128,8,1.0,0.0,0.0,1.0,1.0,1,0
within_regime,logical_compiler,maxmin_fair,128,8,1.0,0.0,0.0,1.0,1.0,1,0
within_regime,logical_compiler,exact_rstar,128,8,1.0,0.0,0.0,1.0,1.0,1,0
within_regime,logical_compiler,semantic_first_upper_bound,128,8,1.0,,,,,,
calibration_to_heldout,skillsp_l1_heldout,released_uniform,52,3,2.0,0.2562791687704621,0.24825619819934597,0.3333333333333333,3.0,3,0
calibration_to_heldout,skillsp_l1_heldout,inverse_support_size,52,3,2.8947368421052633,0.26132634653825215,0.2528356551979594,0.43710539096648854,2.8197769043971963,3,0
calibration_to_heldout,skillsp_l1_heldout,inverse_sqrt_support,52,3,2.376494403223371,0.25163642118388285,0.24402893648678142,0.38487251706105957,2.9508855282840427,3,0
calibration_to_heldout,skillsp_l1_heldout,fractional_load_inverse,52,3,2.772727272727273,0.29148343533017773,0.2798378766652005,0.44827586206896547,2.823200298396121,3,0
calibration_to_heldout,skillsp_l1_heldout,nnls_l2,52,3,3.9754385964912275,0.2088906456425103,0.20447706919066425,0.4382881951622907,2.5938326576276824,3,0
calibration_to_heldout,skillsp_l1_heldout,chebyshev_linf,52,3,2.0000000000000004,0.25627916877046214,0.248256198199346,0.33333333333333337,2.9999999999999996,3,0
calibration_to_heldout,skillsp_l1_heldout,greedy_cover_uniform,52,3,2.0,0.2562791687704621,0.24825619819934597,0.3333333333333333,3.0,3,0
calibration_to_heldout,skillsp_l1_heldout,exact_min_cover_uniform,52,3,2.0,0.2562791687704621,0.24825619819934597,0.3333333333333333,3.0,3,0
calibration_to_heldout,skillsp_l1_heldout,maxmin_fair,52,3,2.0,0.25627916877046214,0.24825619819934597,0.3333333333333333,3.0,3,0
calibration_to_heldout,skillsp_l1_heldout,exact_rstar,52,3,2.0,0.2562791687704621,0.24825619819934597,0.3333333333333333,3.0,3,0
calibration_to_heldout,skillsp_l1_heldout,semantic_first_upper_bound,52,3,1.0,,,,,,
